"Reference","Value","Datasheet","Footprint","Qty","DNP","DigiKey-PN","SparkFun-PN"
"C1,C3,C6","10uF","~","Capacitor_SMD:CP_Elec_4x5.3","3","","PCE3795CT-ND",""
"C2,C4,C5,C7,C8,C9",".01uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6","","C0603C103J5REC7411",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D25","1N4007","-- mixed values --","Diode_SMD:D_SOD-123F","13","","1655-1N4007FLCT-ND",""
"D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24","LED","~","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","12","","732-4985-1-ND",""
"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16","FerriteBead","~","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","16","","240-2411-1-ND",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","4","","",""
"J1,J2","8P8C","~","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","2","","609-1046-ND",""
"J3","Screw_Terminal_01x02","~","TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal","1","","732-10955-ND",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12","MMBT3904","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","Package_TO_SOT_SMD:SOT-23","12","","MMBT3904TPMSCT-ND",""
"Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24","DMP2004K-7","","Package_TO_SOT_SMD:SOT-23","12","","DMP2004KDICT-ND",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","4.7k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","311-4.70KCRCT-ND",""
"R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","311-100KARCT-ND",""
"R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","311-10.0KCRCT-ND",""
"R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","311-1.00KCRCT-ND",""
"U1","~","","Custom DS:ESP32-WROOM Thing Plus C","1","","","SPX-18018"
"U2,U3","74HC238","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","2","","296-9188-5-ND",""
"U4","LM1085-5.0","http://www.ti.com/lit/ds/symlink/lm1085.pdf","Package_TO_SOT_SMD:TO-263-3_TabPin2","1","","LM1086ISX-5.0/NOPBCT-ND",""
